pop,entry,DTH,GW_1k,GM2,ton_hectare,SPI,HI,FE,TL,IN2_wt,IN3_wt,INL2,INL3,IN2_PI,IN3_PI,IN2_IN3_PI
1,991,89.88455759,29.7733697,13977.75471,4.107204135,0.291833015,0.448237784,58.65739112,27.85331995,5.150983608,3.965751973,15.46929825,10.36037386,0.129378965,0.098664947,0.228034948
1,995,114.0434411,27.90108516,10272.42302,3.909268566,0.24380381,0.326897338,56.40513394,30.2264011,5.224123158,3.480462172,22.60003804,11.60513396,0.184364267,0.120599406,0.304954707
1,997,85.88455759,30.37375046,15166.99571,4.376383873,0.388171216,0.420723017,39.62133875,24.63901601,4.022097842,3.782290907,15.56695273,11.91988616,0.114503525,0.107692894,0.222187454
1,998,89.88455759,36.8933697,15683.309,5.730061278,0.321833015,0.432646077,41.61739112,27.90453998,3.871039427,2.773299938,14.29429825,9.279582919,0.113247949,0.081348251,0.194587235
1,999,93.03179084,35.19558413,14511.43826,5.179605046,0.427079365,0.422937487,32.91728754,27.04351839,4.745420207,3.285441686,16.55230739,10.06022626,0.11682169,0.08214982,0.198962545
1,1000,73.1790241,30.84748792,17377.06039,4.594075164,0.338770369,0.431071563,42.79988281,28.55489381,2.843818645,3.118091018,14.92391312,13.52004951,0.088222965,0.100201022,0.188415024
1,1001,85.99498253,25.45375046,22519.27,5.519241016,0.358171216,0.409644699,50.86705304,21.78934287,3.986790067,3.230832429,13.41695273,9.7135844,0.13178246,0.110392959,0.242166456
1,1002,65.88455759,25.22565424,14398.66355,2.533711134,0.29986222,0.3853108,56.21250544,31.56749629,1.854669017,2.383985577,13.03022513,13.01744765,0.0634259,0.083318703,0.146735639
1,1008,99.99498253,35.42741781,16294.09794,6.142826219,0.335987513,0.397811546,40.12180777,34.53940668,4.894890245,2.64944616,20.71266206,9.576124687,0.125691859,0.069068901,0.194751796
1,1009,85.88455759,30.52375046,15731.99,4.582098159,0.278171216,0.310036109,40.14705304,27.19023604,4.533153662,3.498838872,16.34195273,10.87242855,0.150866296,0.116861395,0.267718726
1,1012,86.1790241,29.81375046,21849.81857,6.307812445,0.278171216,0.376271834,51.70133875,30.37638163,5.187197382,4.125089483,17.47528606,11.77038454,0.141965842,0.113278678,0.255235556
1,1014,114.0317908,17.40108516,11727.12016,3.086411423,0.28380381,0.329439759,77.94799108,26.5436141,4.055570473,2.542362283,18.77503804,11.37487003,0.152489267,0.098368786,0.250849088
1,1015,86.1790241,32.15375046,15563.53285,4.776383873,0.268171216,0.406304214,53.39276732,30.12638163,5.693197382,4.859089483,16.60861939,11.57871788,0.133943143,0.115560095,0.249494273
1,1019,91.88455759,30.45817932,18363.80279,5.629757124,0.398663915,0.404510311,38.17541731,25.76169195,4.05948231,2.676530471,14.62463767,8.420660103,0.126684612,0.083512008,0.210187655
1,1020,113.8845576,18.35108516,13862.76587,3.566411423,0.30380381,0.374820056,78.99941966,25.88914361,3.898298198,2.413518369,18.94170471,10.04496672,0.162397568,0.101385196,0.263773799
1,1021,86.04344111,32.66375046,14331.04143,4.456383873,0.278171216,0.435388709,55.10705304,24.72627349,3.357922802,2.902234709,13.97528606,9.738386726,0.127744342,0.108887613,0.23662299
1,1023,93.1790241,29.87558413,22799.31254,6.882462189,0.337079365,0.414656827,46.79157326,27.12641353,4.79624747,3.699396349,15.76064072,9.939154682,0.121815042,0.092693791,0.214499868
1,1024,93.1790241,NA,NA,NA,0.407079365,NA,NA,28.87641353,4.05024747,3.090396349,14.40230739,10.36415468,0.116598833,0.087759264,0.204349133
1,1026,93.1790241,31.31558413,13106.28397,4.185319331,0.337079365,0.333970724,36.30014469,28.87641353,4.51124747,2.818396349,18.95230739,9.955821352,0.152866318,0.09436768,0.247225034
1,1027,89.9691558,25.2533697,22563.97186,5.650061278,0.431833015,0.367995359,38.1888197,25.18175293,4.199820226,2.51880778,15.36096491,9.706770641,0.121659714,0.071554133,0.193204883
1,1028,85.9691558,23.69375046,19717.29285,4.456383873,0.268171216,0.356418893,63.38133875,27.71744898,4.035934461,2.951346714,17.16695273,11.29961627,0.136883601,0.098619366,0.235494001
1,1029,86.04344111,25.52375046,20672.92714,5.062098159,0.368171216,0.428243836,51.20991018,25.22627349,3.881922802,2.980234709,14.95861939,10.6050534,0.139744024,0.105794036,0.245529095
1,1031,114.0434411,22.76108516,18210.90302,5.109268566,0.28380381,0.34004209,62.87370537,29.4764011,4.259123158,3.138462172,19.60003804,11.4634673,0.148843101,0.106079585,0.25491372
1,1034,91.88455759,29.09817932,13050.67136,3.835471409,0.328663915,0.330436126,40.0611316,26.51169195,4.953174618,3.556684317,13.96630434,9.245660103,0.128403039,0.092037888,0.220431962
1,1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1036,85.99498253,29.87375046,21321.27,6.159241016,0.308171216,0.38772268,46.91276732,27.78934287,4.930790067,2.907832429,16.07528606,11.2885844,0.135261145,0.083036092,0.218288274
1,1037,114.0124904,18.69108516,17431.9773,4.240697137,0.25380381,0.387476351,92.41656251,27.46449964,4.033426988,2.371535379,20.72503804,10.41791466,0.158903501,0.095340329,0.254234865
1,1038,86.1790241,32.06375046,18566.97285,5.736383873,0.348171216,0.4098722,40.27276732,28.62638163,6.527197382,4.572089483,16.23361939,10.46205121,0.142066266,0.100391607,0.242448907
1,1039,90.01249044,24.3333697,18990.829,4.575775564,0.361833015,0.358366142,46.14310541,27.42867598,3.606112398,2.208768983,14.26096491,8.783321788,0.120203881,0.073496597,0.193691514
1,1041,89.9691558,35.9533697,19526.55471,6.975775564,0.381833015,0.433671249,35.72024827,28.93175293,5.226820226,NA,15.64429825,NA,0.125445101,NA,0.12566674
1,1042,91.88455759,26.18817932,NA,NA,0.298663915,NA,NA,28.26169195,4.51548231,2.968530471,17.75797101,10.22899344,0.147212562,0.096795464,0.243999061
1,1045,89.88455759,24.0033697,22919.97186,5.455775564,0.381833015,0.464574068,57.75453398,25.85331995,4.096983608,2.572751973,15.23596491,16.65204052,0.129879834,0.080007674,0.209878543
1,1047,89.99498253,32.9533697,16774.06329,5.478632707,0.361833015,0.419480985,40.20024827,24.25364682,4.351675832,3.024293495,15.62763158,9.576041798,0.132826859,0.095322065,0.228139961
1,1048,93.04344111,28.57558413,17699.39254,5.13389076,0.447079365,0.474830473,42.95157326,24.22630539,3.499972891,2.404541575,14.66897405,8.748823536,0.125285205,0.084620102,0.209896341
1,1049,92.88455759,28.76558413,15838.54683,4.631033617,0.417079365,0.454108094,44.11728754,24.63904791,3.600147931,2.386597772,15.40230739,7.880322964,0.138469501,0.090037495,0.228498032
1,1053,85.99498253,28.93375046,14144.01285,3.862098159,0.318171216,0.370389481,45.70133875,25.03934287,4.723790067,4.148832429,15.93361939,11.2885844,0.140431865,0.127220551,0.267643453
1,1054,85.9691558,32.17375046,20066.39,6.239241016,0.318171216,0.406374409,43.76991018,25.96744898,4.514934461,4.043346714,16.25861939,12.4329496,0.137242897,0.122752474,0.259986405
1,1056,105.9691558,18.85184667,13753.27073,3.259056612,0.226480212,0.33357526,85.67017205,28.5389687,4.577363286,3.165652044,19.70368034,11.61038811,0.152816857,0.103006338,0.25581423
1,1057,92.9691558,28.46558413,20246.64969,5.831033617,0.457079365,0.432808942,38.40300183,25.21748089,3.74398455,2.303653579,15.71897405,9.026719749,0.11982275,0.072059662,0.191873448
1,1060,99.88455759,26.19741781,18089.11508,5.102826219,0.495987513,0.37158358,35.68752206,26.69029984,3.65525384,2.404452603,14.09099539,10.16678702,0.106948035,0.069034866,0.175973935
1,1062,89.9691558,28.5833697,15698.269,4.438632707,0.381833015,0.424072729,44.23453398,27.43175293,4.283820226,3.37380778,16.96096491,10.91510397,0.120901497,0.094213412,0.215105944
